FacilityID,CampsiteType,TypeOfUse,Loop,CampsiteAccessible,CampsiteLongitude,CampsiteLatitude,LastUpdatedDate
10114378,Picnic,Day,LEDGEMERE,False,0.0,0.0,2023-03-17
10116518,Cabin,Overnight,Ledgefork Guard Station,False,0.0,0.0,2023-01-06
10116520,Cabin,Overnight,Mill Hollow Guard Station,False,0.0,0.0,2022-02-03
10116522,Cabin,Overnight,Mirror Lake Guard Station,False,0.0,0.0,2022-01-19
10116524,Cabin,Overnight,Soldier Creek Vacation Cabin,False,0.0,0.0,2022-09-15
10116526,Shelter,Overnight,Three Sisters Group Site,True,0.0,0.0,2022-11-02
231931,RV,Overnight,LOOP A,False,0.0,0.0,2023-02-15
232075,Picnic,Day,MUEL,False,0.0,0.0,2021-03-03
10119409,RV,Day,DAY USE ,False,0.0,0.0,2021-12-06
10119467,Shelter,Day,Chickasaw Hill,False,-89.826405,34.162615,2021-03-25
10119469,Shelter,Day,Ford's Well,False,-89.789249,34.126939,2021-03-25
10119471,Shelter,Day,Beach,False,-89.906566,34.137622,2022-06-29
10119477,Shelter,Day,Wallace Creek,False,-89.887317,34.164776,2021-03-25
10119479,Shelter,Day,Water Valley Landing,False,-89.764494,34.141655,2021-03-25
10119505,Hike,Overnight,H┼ìlua,False,-156.218381527,20.7397085150001,2022-04-27
233350,Horseback,Overnight,Loop B,False,0.0,0.0,2021-03-27
10120780,Shelter,Day,Clear Creek,False,-89.709808,34.427285,2021-10-05
10120783,Shelter,Day,North Abutment,False,-89.778373,33.842874,2021-04-26
10120785,Shelter,Day,Hurricane Landing,False,-89.585486,34.493938,2021-10-05
10120787,Shelter,Day,Pats Bluff,True,-89.735758,34.419017,2021-10-05
10120789,Shelter,Day,Brady Mountain Day-Use,True,-93.265696,34.580644,2021-05-13
10120791,Shelter,Day,Crystal Springs Day-Use,True,-93.346535,34.542327,2021-05-13
10120794,Shelter,Day,Stephens Park Day-Use,True,-93.191197,34.570504,2021-08-30
10120796,Shelter,Day,Tompkins Bend Day-Use,True,-93.4708,34.56858,2021-05-13
10122577,Shelter,Day,,False,-90.1198619,34.7387067,2021-04-29
10122580,Shelter,Day,,False,-90.1130012,34.7729698,2021-04-29
10122722,RV,Overnight,East Branch,False,-78.599103,41.561053,2023-02-15
10122832,Cabin,Overnight,Sollers Cabin,False,-110.707,32.4080000000001,2023-06-21
10044710,Tent,Overnight,Atwell Mill,False,0.0,0.0,2021-05-18
10124502,Tent,Overnight,Azalea,False,0.0,0.0,2021-04-19
255136,Tent,Overnight,Craters of the Moon Group Campground,False,-113.566977519,43.4726278210001,2022-06-29
246864,Tent,Overnight,Cold Springs,False,0.0,0.0,2021-06-30
10124953,Horseback,Overnight,Wolverton Stock,False,0.0,0.0,2023-09-22
258825,RV,Overnight,Desert View,False,-111.822537613,36.0399639230001,2021-09-04
275085,Hike,Overnight,1,False,-118.145918974,48.297060507,2023-09-22
10128465,Tent,Overnight,Big Hurricane - Site 1,False,-85.782,36.021,2021-05-18
10128487,Tent,Overnight,A,False,0.0,0.0,2023-08-02
258706,Tent,Overnight,Rivers Bend,False,0.0,0.0,2021-07-15
10130529,Picnic,Day,,True,0.0,0.0,2021-05-08
10130532,Tent,Overnight,01,False,-98.20364,29.87311,2023-03-04
234062,Hike,Overnight,Middle Loop,False,-118.302986738,47.909963879,2023-09-22
10132083,View,Overnight,Steliko Lookout,False,-120.344191,47.7403449999999,2021-12-08
10132085,View,Overnight,Tyee Lookout,False,-120.471649,47.8641220000001,2021-06-23
10132301,Shelter,Day,Woodcock Creek Lake,True,-80.0871999,41.6910145,2021-06-11
